OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
258,Åre,2321,8284025170.1333,541611.040259076,,2321
259,Berg,2326,6180955500.08154,559753.694627182,,2326
260,Härjedalen,2361,11922084961.5667,691257.383386424,,2361
261,Östersund,2380,2514645331.41089,384882.795723882,,2380
262,Nordmaling,2401,1467039777.70068,205353.449361174,,2401
263,Bjurholm,2403,1372752062.57715,193004.802349447,,2403
264,Vindeln,2404,2871649334.45313,279808.382026213,,2404
265,Robertsfors,2409,1454234452.05322,215972.098844956,,2409
266,Norsjö,2417,1936863203.4043,220001.641761443,,2417
267,Malå,2418,1738806069.35205,189023.805196658,,2418
268,Storuman,2421,8282549105.48682,520600.855284942,,2421
269,Sorsele,2422,8006696195.22412,461335.617955428,,2422
270,Dorotea,2425,2959611957.44897,387334.041490038,,2425
271,Vännäs,2460,557522342.950195,133711.207215227,,2460
272,Vilhelmina,2462,8788295479.27759,460179.556067113,,2462
273,Åsele,2463,4571351217.84497,302395.698203405,,2463
274,Umeå,2480,3050522877.72852,396968.531054433,,2480
275,Lycksele,2481,5926826346.59033,389323.547385672,,2481
276,Skellefteå,2482,7640043284.125,532277.768235383,,2482
277,Arvidsjaur,2505,6167518552.75732,395100.89886972,,2505
278,Arjeplog,2506,14585401660.8162,544662.992793822,,2506
279,Jokkmokk,2510,19466420026.9563,718413.957093319,,2510
280,Överkalix,2513,2943803184.19336,280558.911994378,,2513
281,Kalix,2514,2503831355.05713,235721.140763061,,2514
282,Övertorneå,2518,2509962660.30713,349786.79163082,,2518
283,Pajala,2521,8124094161.73535,522253.578550438,,2521
284,Gällivare,2523,16946118322.5925,733812.490644975,,2523
285,Älvsbyn,2560,1809365661.84961,196096.504806755,,2560
286,Luleå,2580,3478916647.61768,369848.712661078,,2580
287,Piteå,2581,3850392654.67041,318638.375953151,,2581
288,Boden,2582,4320826755.18457,335539.340724623,,2582
289,Haparanda,2583,1576171324.56934,207037.003983479,,2583
290,Kiruna,2584,20703223743.8926,808007.444136098,,2584
